date,y1,y2
2002/03/18 - 2002/03/24,41.67,43.58
2002/03/25 - 2002/03/31,41.21,43.09
2002/04/01 - 2002/04/07,40.94,42.78
2002/04/08 - 2002/04/14,40.54,42.31
2002/04/15 - 2002/04/21,40.19,41.92
2002/04/22 - 2002/04/28,40.78,42.61
2002/04/29 - 2002/05/05,39.8,41.46
2002/05/06 - 2002/05/12,39.87,41.55
2002/05/13 - 2002/05/19,40.28,41.98
2002/05/20 - 2002/05/26,39.98,41.65
2002/05/27 - 2002/06/02,39.84,41.47
2002/06/03 - 2002/06/09,39.81,41.43
2002/06/10 - 2002/06/16,39.52,41.09
2002/06/17 - 2002/06/23,39.67,41.27
2002/06/24 - 2002/06/30,39.51,41.08
2002/07/01 - 2002/07/07,39.42,40.98
2002/07/08 - 2002/07/14,39.22,40.75
2002/07/15 - 2002/07/21,39.42,40.97
2002/07/22 - 2002/07/28,38.94,40.43
2002/07/29 - 2002/08/04,38.47,39.87
2002/08/05 - 2002/08/11,38.63,40.07
2002/08/12 - 2002/08/18,38.19,39.55
2002/08/19 - 2002/08/25,37.79,39.1
2002/08/26 - 2002/09/01,37.89,39.24
2002/09/02 - 2002/09/08,37.83,39.18
2002/09/09 - 2002/09/15,37.3,38.55
2002/09/16 - 2002/09/22,37.47,38.76
2002/09/23 - 2002/09/29,36.94,38.25
2002/09/30 - 2002/10/06,37.14,38.52
2002/10/07 - 2002/10/13,36.89,38.24
2002/10/14 - 2002/10/20,36.77,38.05
2002/10/21 - 2002/10/27,36.18,37.36
2002/10/28 - 2002/11/03,36.21,37.56
2002/11/04 - 2002/11/10,36.01,37.33
2002/11/11 - 2002/11/17,35.99,37.31
2002/11/18 - 2002/11/24,35.95,37.27
2002/11/25 - 2002/12/01,35.97,37.29
2002/12/02 - 2002/12/08,36.17,37.56
2002/12/09 - 2002/12/15,35.82,37.16
2002/12/16 - 2002/12/22,36.16,37.56
2002/12/23 - 2002/12/29,35.83,37.21
2002/12/30 - 2003/01/05,35.77,37.13
2003/01/06 - 2003/01/12,35.69,37.04
2003/01/13 - 2003/01/19,36.11,37.42
2003/01/20 - 2003/01/26,35.66,36.89
2003/02/03 - 2003/02/09,35.36,36.6
2003/02/10 - 2003/02/16,35.09,36.29
2003/02/17 - 2003/02/23,35.49,36.75
2003/02/24 - 2003/03/02,35.25,36.61
2003/03/03 - 2003/03/09,35.14,36.49
2003/03/10 - 2003/03/16,34.65,35.96
2003/03/17 - 2003/03/23,33.99,35.19
2003/03/24 - 2003/03/30,33.55,34.72
2003/03/31 - 2003/04/06,33.38,34.53
2003/04/07 - 2003/04/13,33.4,34.55
2003/04/14 - 2003/04/20,33.44,34.59
2003/04/21 - 2003/04/27,33.25,34.38
2003/04/28 - 2003/05/04,32.83,33.89
2003/05/05 - 2003/05/11,32.61,33.64
2003/05/12 - 2003/05/18,32.61,33.69
2003/05/19 - 2003/05/25,32.52,33.6
2003/05/26 - 2003/06/01,32.43,33.55
2003/06/02 - 2003/06/08,32.37,33.47
2003/06/09 - 2003/06/15,32.16,33.25
2003/06/16 - 2003/06/22,32.35,33.46
2003/06/23 - 2003/06/29,32.67,33.85
2003/06/30 - 2003/07/06,32.58,33.77
2003/07/07 - 2003/07/13,32.57,33.85
2003/07/14 - 2003/07/20,32.11,33.29
2003/07/21 - 2003/07/27,32.14,33.47
2003/07/28 - 2003/08/03,31.88,33.07
2003/08/04 - 2003/08/10,31.77,32.94
2003/08/11 - 2003/08/17,31.79,32.95
2003/08/18 - 2003/08/24,31.77,32.9
2003/08/25 - 2003/08/31,32.39,33.6
2003/09/01 - 2003/09/07,32.29,33.51
2003/09/08 - 2003/09/14,32.7,33.98
2003/09/15 - 2003/09/21,33.48,34.85
2003/09/22 - 2003/09/28,33.26,34.57
2003/09/29 - 2003/10/05,34.19,35.58
2003/10/06 - 2003/10/12,34.6,36.1
2003/10/13 - 2003/10/19,34.98,36.5
2003/10/20 - 2003/10/26,35.17,36.59
2003/10/27 - 2003/11/02,35.87,37.36
2003/11/03 - 2003/11/09,36.03,37.47
2003/11/10 - 2003/11/16,35.52,36.87
2003/11/17 - 2003/11/23,35.64,36.94
2003/11/24 - 2003/11/30,36.43,37.81
2003/12/01 - 2003/12/07,37.23,38.77
2003/12/08 - 2003/12/14,36.79,38.21
2003/12/15 - 2003/12/21,37.2,38.69
2003/12/22 - 2003/12/28,37.07,38.5
2003/12/29 - 2004/01/04,37.51,39
2004/01/05 - 2004/01/11,38.33,39.94
2004/01/12 - 2004/01/18,37.9,39.41
2004/01/19 - 2004/01/25,38.41,39.95
2004/01/26 - 2004/02/01,39.06,40.5
2004/02/02 - 2004/02/08,39.37,40.89
2004/02/09 - 2004/02/15,40.58,42.21
2004/02/16 - 2004/02/22,41.36,43.15
2004/02/23 - 2004/02/29,43.07,45.16
2004/03/01 - 2004/03/07,43.25,45.26
2004/03/08 - 2004/03/14,43.98,45.65
2004/03/15 - 2004/03/21,44.93,46.73
2004/03/22 - 2004/03/28,45.37,47.24
2004/03/29 - 2004/04/04,45.81,47.75
2004/04/05 - 2004/04/11,46.31,48.28
2004/04/12 - 2004/04/18,45.96,47.7
2004/04/19 - 2004/04/25,46.46,48.16
2004/04/26 - 2004/05/02,47.06,48.7
2004/05/03 - 2004/05/09,47.2,48.76
2004/05/10 - 2004/05/16,46.37,47.69
2004/05/17 - 2004/05/23,46.39,47.71
2004/05/24 - 2004/05/30,46.51,47.85
2004/05/31 - 2004/06/06,46.64,48.03
2004/06/07 - 2004/06/13,47.34,48.82
2004/06/14 - 2004/06/20,47.32,48.81
2004/06/21 - 2004/06/27,46.81,48.31
2004/06/28 - 2004/07/04,46.93,48.47
2004/07/05 - 2004/07/11,46.44,47.9
2004/07/12 - 2004/07/18,46.33,47.78
2004/07/19 - 2004/07/25,46.48,47.98
2004/07/26 - 2004/08/01,45.59,46.88
2004/08/02 - 2004/08/08,45.27,46.55
2004/08/09 - 2004/08/15,45.09,46.32
2004/08/16 - 2004/08/22,45.11,46.28
2004/08/23 - 2004/08/29,45.71,46.99
2004/08/30 - 2004/09/05,46.2,47.63
2004/09/06 - 2004/09/12,46.04,47.4
2004/09/13 - 2004/09/19,46.62,48.12
2004/09/20 - 2004/09/26,46.52,47.99
2004/09/27 - 2004/10/03,46.78,48.26
2004/10/04 - 2004/10/10,47.02,48.51
2004/10/11 - 2004/10/17,47.08,48.55
2004/10/18 - 2004/10/24,46.97,48.49
2004/10/25 - 2004/10/31,48.23,49.63
2004/11/01 - 2004/11/07,48.69,50.14
2004/11/08 - 2004/11/14,48.69,50.18
2004/11/15 - 2004/11/21,48.62,50.12
2004/11/22 - 2004/11/28,49.53,51.07
2004/11/29 - 2004/12/05,49.79,51.31
2004/12/06 - 2004/12/12,49.09,50.53
2004/12/13 - 2004/12/19,49.41,50.83
2004/12/20 - 2004/12/26,49.78,51.24
2004/12/27 - 2005/01/02,49.3,50.71
2005/01/03 - 2005/01/09,49.16,50.5
2005/01/10 - 2005/01/16,49.66,51.1
2005/01/17 - 2005/01/23,49.39,50.68
2005/01/24 - 2005/01/30,49.82,51.05
2005/02/07 - 2005/02/13,50.4,51.69
2005/02/14 - 2005/02/20,50.5,51.7
2005/02/21 - 2005/02/27,50.98,52.06
2005/02/28 - 2005/03/06,51.27,52.28
2005/03/07 - 2005/03/13,51.68,52.62
